name,description
ad1,No documentation
btrfs,No documentation
btrfs,No documentation
cb,No documentation
META:configuration,A special :class:`.Filesystem` class that allows you to browse and interact with configuration files
cpio,No documentation
dir,No documentation
exfat,No documentation
ext,No documentation
fat,No documentation
ffs,No documentation
itunes,Filesystem implementation for iTunes backups.
jffs,No documentation
layer,No documentation
nfs,Filesystem implementation of a NFS share
ntfs,No documentation
overlay2,Overlay 2 filesystem implementation.
qnxfs,No documentation
smb,Filesystem implementation for SMB.
squashfs,No documentation
tar,Filesystem implementation for tar files.
vbk,Filesystem implementation for VBK files.
virtual,No documentation
vmfs,No documentation
vmtar,No documentation
xfs,No documentation
zip,Filesystem implementation for zip files.
